concept_name,concept_namespace,dataset_name,study_name,variable_name
id,pairfam,anchor5,pairfam,id
demodiff,pairfam,anchor5,pairfam,demodiff
wave,pairfam,anchor5,pairfam,wave
pid,pairfam,anchor5,pairfam,pid
mid,pairfam,anchor5,pairfam,mid
fid,pairfam,anchor5,pairfam,fid
smid,pairfam,anchor5,pairfam,smid
sfid,pairfam,anchor5,pairfam,sfid
cid1,pairfam,anchor5,pairfam,cid1
cid2,pairfam,anchor5,pairfam,cid2
cid3,pairfam,anchor5,pairfam,cid3
cid4,pairfam,anchor5,pairfam,cid4
cid5,pairfam,anchor5,pairfam,cid5
cid6,pairfam,anchor5,pairfam,cid6
cid7,pairfam,anchor5,pairfam,cid7
cid8,pairfam,anchor5,pairfam,cid8
cid9,pairfam,anchor5,pairfam,cid9
cid10,pairfam,anchor5,pairfam,cid10
parentidk1,pairfam,anchor5,pairfam,parentidk1
parentidk2,pairfam,anchor5,pairfam,parentidk2
parentidk3,pairfam,anchor5,pairfam,parentidk3
parentidk4,pairfam,anchor5,pairfam,parentidk4
parentidk5,pairfam,anchor5,pairfam,parentidk5
parentidk6,pairfam,anchor5,pairfam,parentidk6
parentidk7,pairfam,anchor5,pairfam,parentidk7
parentidk8,pairfam,anchor5,pairfam,parentidk8
parentidk9,pairfam,anchor5,pairfam,parentidk9
parentidk10,pairfam,anchor5,pairfam,parentidk10
f_cid,pairfam,anchor5,pairfam,f_cid
sex_gen,pairfam,anchor5,pairfam,sex_gen
psex_gen,pairfam,anchor5,pairfam,psex_gen
k1sex_gen,pairfam,anchor5,pairfam,k1sex_gen
k2sex_gen,pairfam,anchor5,pairfam,k2sex_gen
k3sex_gen,pairfam,anchor5,pairfam,k3sex_gen
k4sex_gen,pairfam,anchor5,pairfam,k4sex_gen
k5sex_gen,pairfam,anchor5,pairfam,k5sex_gen
k6sex_gen,pairfam,anchor5,pairfam,k6sex_gen
k7sex_gen,pairfam,anchor5,pairfam,k7sex_gen
k8sex_gen,pairfam,anchor5,pairfam,k8sex_gen
k9sex_gen,pairfam,anchor5,pairfam,k9sex_gen
k10sex_gen,pairfam,anchor5,pairfam,k10sex_gen
