concept_name,concept_namespace,dataset_name,study_name,variable_name
doby_gen,pairfam,anchor5,pairfam,doby_gen
dobm_gen,pairfam,anchor5,pairfam,dobm_gen
pdoby_gen,pairfam,anchor5,pairfam,pdoby_gen
pdobm_gen,pairfam,anchor5,pairfam,pdobm_gen
mdoby_gen,pairfam,anchor5,pairfam,mdoby_gen
mdobm_gen,pairfam,anchor5,pairfam,mdobm_gen
fdoby_gen,pairfam,anchor5,pairfam,fdoby_gen
fdobm_gen,pairfam,anchor5,pairfam,fdobm_gen
smdoby_gen,pairfam,anchor5,pairfam,smdoby_gen
smdobm_gen,pairfam,anchor5,pairfam,smdobm_gen
sfdoby_gen,pairfam,anchor5,pairfam,sfdoby_gen
sfdobm_gen,pairfam,anchor5,pairfam,sfdobm_gen
k1doby_gen,pairfam,anchor5,pairfam,k1doby_gen
k2doby_gen,pairfam,anchor5,pairfam,k2doby_gen
k3doby_gen,pairfam,anchor5,pairfam,k3doby_gen
k4doby_gen,pairfam,anchor5,pairfam,k4doby_gen
k5doby_gen,pairfam,anchor5,pairfam,k5doby_gen
k6doby_gen,pairfam,anchor5,pairfam,k6doby_gen
k7doby_gen,pairfam,anchor5,pairfam,k7doby_gen
k8doby_gen,pairfam,anchor5,pairfam,k8doby_gen
k9doby_gen,pairfam,anchor5,pairfam,k9doby_gen
k10doby_gen,pairfam,anchor5,pairfam,k10doby_gen
k1dobm_gen,pairfam,anchor5,pairfam,k1dobm_gen
k2dobm_gen,pairfam,anchor5,pairfam,k2dobm_gen
k3dobm_gen,pairfam,anchor5,pairfam,k3dobm_gen
k4dobm_gen,pairfam,anchor5,pairfam,k4dobm_gen
k5dobm_gen,pairfam,anchor5,pairfam,k5dobm_gen
k6dobm_gen,pairfam,anchor5,pairfam,k6dobm_gen
k7dobm_gen,pairfam,anchor5,pairfam,k7dobm_gen
k8dobm_gen,pairfam,anchor5,pairfam,k8dobm_gen
k9dobm_gen,pairfam,anchor5,pairfam,k9dobm_gen
k10dobm_gen,pairfam,anchor5,pairfam,k10dobm_gen
age,pairfam,anchor5,pairfam,age
page,pairfam,anchor5,pairfam,page
mage,pairfam,anchor5,pairfam,mage
fage,pairfam,anchor5,pairfam,fage
smage,pairfam,anchor5,pairfam,smage
sfage,pairfam,anchor5,pairfam,sfage
k1age,pairfam,anchor5,pairfam,k1age
k2age,pairfam,anchor5,pairfam,k2age
k3age,pairfam,anchor5,pairfam,k3age
k4age,pairfam,anchor5,pairfam,k4age
k5age,pairfam,anchor5,pairfam,k5age
k6age,pairfam,anchor5,pairfam,k6age
k7age,pairfam,anchor5,pairfam,k7age
k8age,pairfam,anchor5,pairfam,k8age
k9age,pairfam,anchor5,pairfam,k9age
k10age,pairfam,anchor5,pairfam,k10age
ykage,pairfam,anchor5,pairfam,ykage
ykid,pairfam,anchor5,pairfam,ykid
ykagecapi,pairfam,anchor5,pairfam,ykagecapi
ykidcapi,pairfam,anchor5,pairfam,ykidcapi
cohort,pairfam,anchor5,pairfam,cohort
cob,pairfam,anchor5,pairfam,cob
pcob,pairfam,anchor5,pairfam,pcob
mcob,pairfam,anchor5,pairfam,mcob
fcob,pairfam,anchor5,pairfam,fcob
amcob,pairfam,anchor5,pairfam,amcob
afcob,pairfam,anchor5,pairfam,afcob
smcob,pairfam,anchor5,pairfam,smcob
sfcob,pairfam,anchor5,pairfam,sfcob
pmcob,pairfam,anchor5,pairfam,pmcob
pfcob,pairfam,anchor5,pairfam,pfcob
nat1,pairfam,anchor5,pairfam,nat1
nat2,pairfam,anchor5,pairfam,nat2
pnat1,pairfam,anchor5,pairfam,pnat1
pnat2,pairfam,anchor5,pairfam,pnat2
mnat1,pairfam,anchor5,pairfam,mnat1
mnat2,pairfam,anchor5,pairfam,mnat2
fnat1,pairfam,anchor5,pairfam,fnat1
fnat2,pairfam,anchor5,pairfam,fnat2
amnat1,pairfam,anchor5,pairfam,amnat1
amnat2,pairfam,anchor5,pairfam,amnat2
afnat1,pairfam,anchor5,pairfam,afnat1
afnat2,pairfam,anchor5,pairfam,afnat2
smnat1,pairfam,anchor5,pairfam,smnat1
smnat2,pairfam,anchor5,pairfam,smnat2
sfnat1,pairfam,anchor5,pairfam,sfnat1
sfnat2,pairfam,anchor5,pairfam,sfnat2
ethni,pairfam,anchor5,pairfam,ethni
migstatus,pairfam,anchor5,pairfam,migstatus
relstat,pairfam,anchor5,pairfam,relstat
marstat,pairfam,anchor5,pairfam,marstat
pmarstat,pairfam,anchor5,pairfam,pmarstat
np,pairfam,anchor5,pairfam,np
ncoh,pairfam,anchor5,pairfam,ncoh
nmar,pairfam,anchor5,pairfam,nmar
meetdur,pairfam,anchor5,pairfam,meetdur
reldur,pairfam,anchor5,pairfam,reldur
cohabdur,pairfam,anchor5,pairfam,cohabdur
mardur,pairfam,anchor5,pairfam,mardur
homosex,pairfam,anchor5,pairfam,homosex
homosex_new,pairfam,anchor5,pairfam,homosex_new
infertile,pairfam,anchor5,pairfam,infertile
pregnant,pairfam,anchor5,pairfam,pregnant
nkids,pairfam,anchor5,pairfam,nkids
nkidsbio,pairfam,anchor5,pairfam,nkidsbio
nkidsp,pairfam,anchor5,pairfam,nkidsp
nkidsalv,pairfam,anchor5,pairfam,nkidsalv
nkidsbioalv,pairfam,anchor5,pairfam,nkidsbioalv
nkidspalv,pairfam,anchor5,pairfam,nkidspalv
nkidsliv,pairfam,anchor5,pairfam,nkidsliv
nkidsbioliv,pairfam,anchor5,pairfam,nkidsbioliv
nkidspliv,pairfam,anchor5,pairfam,nkidspliv
pnkidsbioalv,pairfam,anchor5,pairfam,pnkidsbioalv
k1type,pairfam,anchor5,pairfam,k1type
k2type,pairfam,anchor5,pairfam,k2type
k3type,pairfam,anchor5,pairfam,k3type
k4type,pairfam,anchor5,pairfam,k4type
k5type,pairfam,anchor5,pairfam,k5type
k6type,pairfam,anchor5,pairfam,k6type
k7type,pairfam,anchor5,pairfam,k7type
k8type,pairfam,anchor5,pairfam,k8type
k9type,pairfam,anchor5,pairfam,k9type
k10type,pairfam,anchor5,pairfam,k10type
res2nd,pairfam,anchor5,pairfam,res2nd
hhsizemrd,pairfam,anchor5,pairfam,hhsizemrd
mmrd,pairfam,anchor5,pairfam,mmrd
fmrd,pairfam,anchor5,pairfam,fmrd
pmrd,pairfam,anchor5,pairfam,pmrd
childmrd,pairfam,anchor5,pairfam,childmrd
othmrd,pairfam,anchor5,pairfam,othmrd
hhcomp,pairfam,anchor5,pairfam,hhcomp
enrol,pairfam,anchor5,pairfam,enrol
penrol,pairfam,anchor5,pairfam,penrol
school,pairfam,anchor5,pairfam,school
pschool,pairfam,anchor5,pairfam,pschool
mschool,pairfam,anchor5,pairfam,mschool
fschool,pairfam,anchor5,pairfam,fschool
vocat,pairfam,anchor5,pairfam,vocat
pvocat,pairfam,anchor5,pairfam,pvocat
mvocat,pairfam,anchor5,pairfam,mvocat
fvocat,pairfam,anchor5,pairfam,fvocat
isced,pairfam,anchor5,pairfam,isced
pisced,pairfam,anchor5,pairfam,pisced
misced,pairfam,anchor5,pairfam,misced
fisced,pairfam,anchor5,pairfam,fisced
isced2,pairfam,anchor5,pairfam,isced2
pisced2,pairfam,anchor5,pairfam,pisced2
casmin,pairfam,anchor5,pairfam,casmin
pcasmin,pairfam,anchor5,pairfam,pcasmin
mcasmin,pairfam,anchor5,pairfam,mcasmin
fcasmin,pairfam,anchor5,pairfam,fcasmin
yeduc,pairfam,anchor5,pairfam,yeduc
pyeduc,pairfam,anchor5,pairfam,pyeduc
myeduc,pairfam,anchor5,pairfam,myeduc
fyeduc,pairfam,anchor5,pairfam,fyeduc
kldb2010,pairfam,anchor5,pairfam,kldb2010
isco08,pairfam,anchor5,pairfam,isco08
isei,pairfam,anchor5,pairfam,isei
siops,pairfam,anchor5,pairfam,siops
incnet,pairfam,anchor5,pairfam,incnet
hhincnet,pairfam,anchor5,pairfam,hhincnet
hhincgcee,pairfam,anchor5,pairfam,hhincgcee
hhincoecd,pairfam,anchor5,pairfam,hhincoecd
npu14mr,pairfam,anchor5,pairfam,npu14mr
npo14mr,pairfam,anchor5,pairfam,npo14mr
cpi,pairfam,anchor5,pairfam,cpi
casprim,pairfam,anchor5,pairfam,casprim
cassec,pairfam,anchor5,pairfam,cassec
pcasprim,pairfam,anchor5,pairfam,pcasprim
pcassec,pairfam,anchor5,pairfam,pcassec
lfs,pairfam,anchor5,pairfam,lfs
plfs,pairfam,anchor5,pairfam,plfs
east,pairfam,anchor5,pairfam,east
bula,pairfam,anchor5,pairfam,bula
gkpol,pairfam,anchor5,pairfam,gkpol
bik,pairfam,anchor5,pairfam,bik
intcont,pairfam,anchor5,pairfam,intcont
intsex,pairfam,anchor5,pairfam,intsex
intage,pairfam,anchor5,pairfam,intage
intedu,pairfam,anchor5,pairfam,intedu
intid,pairfam,anchor5,pairfam,intid
intdur,pairfam,anchor5,pairfam,intdur
intd,pairfam,anchor5,pairfam,intd
intm,pairfam,anchor5,pairfam,intm
inty,pairfam,anchor5,pairfam,inty
wavedist,pairfam,anchor5,pairfam,wavedist
dweight,pairfam,anchor5,pairfam,dweight
psweight,pairfam,anchor5,pairfam,psweight
dxpsweight,pairfam,anchor5,pairfam,dxpsweight
ddweight,pairfam,anchor5,pairfam,ddweight
caweight,pairfam,anchor5,pairfam,caweight
ddcaweight,pairfam,anchor5,pairfam,ddcaweight
d1weight,pairfam,anchor5,pairfam,d1weight
ca1weight,pairfam,anchor5,pairfam,ca1weight
d1ca1weight,pairfam,anchor5,pairfam,d1ca1weight
lweight,pairfam,anchor5,pairfam,lweight
ppanel,pairfam,anchor5,pairfam,ppanel
pcontact,pairfam,anchor5,pairfam,pcontact
panswer,pairfam,anchor5,pairfam,panswer
flag1,pairfam,anchor5,pairfam,flag1
flag2,pairfam,anchor5,pairfam,flag2
flag3,pairfam,anchor5,pairfam,flag3
flag4,pairfam,anchor5,pairfam,flag4
flag5,pairfam,anchor5,pairfam,flag5
flag6,pairfam,anchor5,pairfam,flag6
flag7,pairfam,anchor5,pairfam,flag7
flag8,pairfam,anchor5,pairfam,flag8
flag9,pairfam,anchor5,pairfam,flag9
flag10,pairfam,anchor5,pairfam,flag10
flag11,pairfam,anchor5,pairfam,flag11
flag12,pairfam,anchor5,pairfam,flag12
flag13,pairfam,anchor5,pairfam,flag13
flag14,pairfam,anchor5,pairfam,flag14
flag15,pairfam,anchor5,pairfam,flag15
flag16,pairfam,anchor5,pairfam,flag16
flag17,pairfam,anchor5,pairfam,flag17
flag18,pairfam,anchor5,pairfam,flag18
flag20,pairfam,anchor5,pairfam,flag20
flag21,pairfam,anchor5,pairfam,flag21
flag22,pairfam,anchor5,pairfam,flag22
flag23,pairfam,anchor5,pairfam,flag23
flag24,pairfam,anchor5,pairfam,flag24
flag25,pairfam,anchor5,pairfam,flag25
flag26,pairfam,anchor5,pairfam,flag26
flag27,pairfam,anchor5,pairfam,flag27
flag_cas,pairfam,anchor5,pairfam,flag_cas
pflag_cas,pairfam,anchor5,pairfam,pflag_cas
flag_ehc,pairfam,anchor5,pairfam,flag_ehc
flag_frt6,pairfam,anchor5,pairfam,flag_frt6
flag_igb,pairfam,anchor5,pairfam,flag_igb
flag_isco08_kldb2010,pairfam,anchor5,pairfam,flag_isco08_kldb2010
tag_sex,pairfam,anchor5,pairfam,tag_sex
tag_dob,pairfam,anchor5,pairfam,tag_dob
tag_identk1,pairfam,anchor5,pairfam,tag_identk1
tag_identk2,pairfam,anchor5,pairfam,tag_identk2
tag_identk3,pairfam,anchor5,pairfam,tag_identk3
tag_identk4,pairfam,anchor5,pairfam,tag_identk4
tag_identk5,pairfam,anchor5,pairfam,tag_identk5
tag_identk6,pairfam,anchor5,pairfam,tag_identk6
tag_identk7,pairfam,anchor5,pairfam,tag_identk7
tag_identk8,pairfam,anchor5,pairfam,tag_identk8
tag_identk9,pairfam,anchor5,pairfam,tag_identk9
tag_identk10,pairfam,anchor5,pairfam,tag_identk10
tag_sexk1,pairfam,anchor5,pairfam,tag_sexk1
tag_sexk2,pairfam,anchor5,pairfam,tag_sexk2
tag_sexk3,pairfam,anchor5,pairfam,tag_sexk3
tag_sexk4,pairfam,anchor5,pairfam,tag_sexk4
tag_sexk5,pairfam,anchor5,pairfam,tag_sexk5
tag_sexk6,pairfam,anchor5,pairfam,tag_sexk6
tag_sexk7,pairfam,anchor5,pairfam,tag_sexk7
tag_sexk8,pairfam,anchor5,pairfam,tag_sexk8
tag_sexk9,pairfam,anchor5,pairfam,tag_sexk9
tag_sexk10,pairfam,anchor5,pairfam,tag_sexk10
tag_dobk1,pairfam,anchor5,pairfam,tag_dobk1
tag_dobk2,pairfam,anchor5,pairfam,tag_dobk2
tag_dobk3,pairfam,anchor5,pairfam,tag_dobk3
tag_dobk4,pairfam,anchor5,pairfam,tag_dobk4
tag_dobk5,pairfam,anchor5,pairfam,tag_dobk5
tag_dobk6,pairfam,anchor5,pairfam,tag_dobk6
tag_dobk7,pairfam,anchor5,pairfam,tag_dobk7
tag_dobk8,pairfam,anchor5,pairfam,tag_dobk8
tag_dobk9,pairfam,anchor5,pairfam,tag_dobk9
tag_dobk10,pairfam,anchor5,pairfam,tag_dobk10
tag_biok1,pairfam,anchor5,pairfam,tag_biok1
tag_biok2,pairfam,anchor5,pairfam,tag_biok2
tag_biok3,pairfam,anchor5,pairfam,tag_biok3
tag_biok4,pairfam,anchor5,pairfam,tag_biok4
tag_biok5,pairfam,anchor5,pairfam,tag_biok5
tag_biok6,pairfam,anchor5,pairfam,tag_biok6
tag_biok7,pairfam,anchor5,pairfam,tag_biok7
tag_biok8,pairfam,anchor5,pairfam,tag_biok8
tag_biok9,pairfam,anchor5,pairfam,tag_biok9
tag_biok10,pairfam,anchor5,pairfam,tag_biok10
tag_biokp1,pairfam,anchor5,pairfam,tag_biokp1
tag_biokp2,pairfam,anchor5,pairfam,tag_biokp2
tag_biokp3,pairfam,anchor5,pairfam,tag_biokp3
tag_biokp4,pairfam,anchor5,pairfam,tag_biokp4
tag_biokp5,pairfam,anchor5,pairfam,tag_biokp5
tag_biokp6,pairfam,anchor5,pairfam,tag_biokp6
tag_biokp7,pairfam,anchor5,pairfam,tag_biokp7
tag_biokp8,pairfam,anchor5,pairfam,tag_biokp8
tag_biokp9,pairfam,anchor5,pairfam,tag_biokp9
tag_biokp10,pairfam,anchor5,pairfam,tag_biokp10
tag_identp,pairfam,anchor5,pairfam,tag_identp
tag_dobp,pairfam,anchor5,pairfam,tag_dobp
tag_sexp,pairfam,anchor5,pairfam,tag_sexp
hhnr,pairfam,anchor5,pairfam,hhnr
hh1nr,pairfam,anchor5,pairfam,hh1nr
hh1a,pairfam,anchor5,pairfam,hh1a
hh1l,pairfam,anchor5,pairfam,hh1l
hh1t0,pairfam,anchor5,pairfam,hh1t0
hp,pairfam,anchor5,pairfam,hp
hpnr,pairfam,anchor5,pairfam,hpnr
hpn,pairfam,anchor5,pairfam,hpn
hpg,pairfam,anchor5,pairfam,hpg
hp0,pairfam,anchor5,pairfam,hp0
hpm,pairfam,anchor5,pairfam,hpm
hpc,pairfam,anchor5,pairfam,hpc
hpsep,pairfam,anchor5,pairfam,hpsep
hpmt,pairfam,anchor5,pairfam,hpmt
hps1,pairfam,anchor5,pairfam,hps1
hps2,pairfam,anchor5,pairfam,hps2
hp0nr,pairfam,anchor5,pairfam,hp0nr
hp0n,pairfam,anchor5,pairfam,hp0n
hp0g,pairfam,anchor5,pairfam,hp0g
hp0ct0,pairfam,anchor5,pairfam,hp0ct0
hhomo,pairfam,anchor5,pairfam,hhomo
erw0,pairfam,anchor5,pairfam,erw0
erw1,pairfam,anchor5,pairfam,erw1
erw2,pairfam,anchor5,pairfam,erw2
lmhh1,pairfam,anchor5,pairfam,lmhh1
lvhh1,pairfam,anchor5,pairfam,lvhh1
amhh1,pairfam,anchor5,pairfam,amhh1
avhh1,pairfam,anchor5,pairfam,avhh1
smhh1,pairfam,anchor5,pairfam,smhh1
svhh1,pairfam,anchor5,pairfam,svhh1
hm1,pairfam,anchor5,pairfam,hm1
hm2,pairfam,anchor5,pairfam,hm2
hm3,pairfam,anchor5,pairfam,hm3
hv1,pairfam,anchor5,pairfam,hv1
hv2,pairfam,anchor5,pairfam,hv2
hv3,pairfam,anchor5,pairfam,hv3
he1,pairfam,anchor5,pairfam,he1
he2,pairfam,anchor5,pairfam,he2
he3,pairfam,anchor5,pairfam,he3
hsv1,pairfam,anchor5,pairfam,hsv1
hsv2,pairfam,anchor5,pairfam,hsv2
hsv3,pairfam,anchor5,pairfam,hsv3
hsm1,pairfam,anchor5,pairfam,hsm1
hsm2,pairfam,anchor5,pairfam,hsm2
hsm3,pairfam,anchor5,pairfam,hsm3
hnk,pairfam,anchor5,pairfam,hnk
hsmx,pairfam,anchor5,pairfam,hsmx
capikidk1,pairfam,anchor5,pairfam,capikidk1
capikidk2,pairfam,anchor5,pairfam,capikidk2
capikidk3,pairfam,anchor5,pairfam,capikidk3
capikidk4,pairfam,anchor5,pairfam,capikidk4
capikidk5,pairfam,anchor5,pairfam,capikidk5
capikidk6,pairfam,anchor5,pairfam,capikidk6
capikidk7,pairfam,anchor5,pairfam,capikidk7
capikidk8,pairfam,anchor5,pairfam,capikidk8
capikidk9,pairfam,anchor5,pairfam,capikidk9
capikidk10,pairfam,anchor5,pairfam,capikidk10
sibd1,pairfam,anchor5,pairfam,sibd1
sibd2,pairfam,anchor5,pairfam,sibd2
sibd3,pairfam,anchor5,pairfam,sibd3
sibd4,pairfam,anchor5,pairfam,sibd4
dpid,pairfam,anchor5,pairfam,dpid
dsmid,pairfam,anchor5,pairfam,dsmid
dsfid,pairfam,anchor5,pairfam,dsfid
d0,pairfam,anchor5,pairfam,d0
d1,pairfam,anchor5,pairfam,d1
d2,pairfam,anchor5,pairfam,d2
d3,pairfam,anchor5,pairfam,d3
d4,pairfam,anchor5,pairfam,d4
d5,pairfam,anchor5,pairfam,d5
d6,pairfam,anchor5,pairfam,d6
d7,pairfam,anchor5,pairfam,d7
d8,pairfam,anchor5,pairfam,d8
d9,pairfam,anchor5,pairfam,d9
d11,pairfam,anchor5,pairfam,d11
d12,pairfam,anchor5,pairfam,d12
d13,pairfam,anchor5,pairfam,d13
d14,pairfam,anchor5,pairfam,d14
d15,pairfam,anchor5,pairfam,d15
d16,pairfam,anchor5,pairfam,d16
d17,pairfam,anchor5,pairfam,d17
d18,pairfam,anchor5,pairfam,d18
d19,pairfam,anchor5,pairfam,d19
d20,pairfam,anchor5,pairfam,d20
d21,pairfam,anchor5,pairfam,d21
d22,pairfam,anchor5,pairfam,d22
d23,pairfam,anchor5,pairfam,d23
d29,pairfam,anchor5,pairfam,d29
d30,pairfam,anchor5,pairfam,d30
d31,pairfam,anchor5,pairfam,d31
d32,pairfam,anchor5,pairfam,d32
d33,pairfam,anchor5,pairfam,d33
d34,pairfam,anchor5,pairfam,d34
d35,pairfam,anchor5,pairfam,d35
d36,pairfam,anchor5,pairfam,d36
d37,pairfam,anchor5,pairfam,d37
d38,pairfam,anchor5,pairfam,d38
d44,pairfam,anchor5,pairfam,d44
d45,pairfam,anchor5,pairfam,d45
d46,pairfam,anchor5,pairfam,d46
d47,pairfam,anchor5,pairfam,d47
d48,pairfam,anchor5,pairfam,d48
d49,pairfam,anchor5,pairfam,d49
d50,pairfam,anchor5,pairfam,d50
d51,pairfam,anchor5,pairfam,d51
d52,pairfam,anchor5,pairfam,d52
d53,pairfam,anchor5,pairfam,d53
d342,pairfam,anchor5,pairfam,d342
d343,pairfam,anchor5,pairfam,d343
d344,pairfam,anchor5,pairfam,d344
d345,pairfam,anchor5,pairfam,d345
d346,pairfam,anchor5,pairfam,d346
d347,pairfam,anchor5,pairfam,d347
d348,pairfam,anchor5,pairfam,d348
d349,pairfam,anchor5,pairfam,d349
d350,pairfam,anchor5,pairfam,d350
d351,pairfam,anchor5,pairfam,d351
d59,pairfam,anchor5,pairfam,d59
d60,pairfam,anchor5,pairfam,d60
d61,pairfam,anchor5,pairfam,d61
d62,pairfam,anchor5,pairfam,d62
d63,pairfam,anchor5,pairfam,d63
d64,pairfam,anchor5,pairfam,d64
d65,pairfam,anchor5,pairfam,d65
d66,pairfam,anchor5,pairfam,d66
d67,pairfam,anchor5,pairfam,d67
d68,pairfam,anchor5,pairfam,d68
d74,pairfam,anchor5,pairfam,d74
d75,pairfam,anchor5,pairfam,d75
d76,pairfam,anchor5,pairfam,d76
d77,pairfam,anchor5,pairfam,d77
d78,pairfam,anchor5,pairfam,d78
d79,pairfam,anchor5,pairfam,d79
d80,pairfam,anchor5,pairfam,d80
d81,pairfam,anchor5,pairfam,d81
d82,pairfam,anchor5,pairfam,d82
d83,pairfam,anchor5,pairfam,d83
d89,pairfam,anchor5,pairfam,d89
d90,pairfam,anchor5,pairfam,d90
d91,pairfam,anchor5,pairfam,d91
d92,pairfam,anchor5,pairfam,d92
d93,pairfam,anchor5,pairfam,d93
d94,pairfam,anchor5,pairfam,d94
d95,pairfam,anchor5,pairfam,d95
d96,pairfam,anchor5,pairfam,d96
d97,pairfam,anchor5,pairfam,d97
d98,pairfam,anchor5,pairfam,d98
d104,pairfam,anchor5,pairfam,d104
d105,pairfam,anchor5,pairfam,d105
d106,pairfam,anchor5,pairfam,d106
d107,pairfam,anchor5,pairfam,d107
d108,pairfam,anchor5,pairfam,d108
d109,pairfam,anchor5,pairfam,d109
d110,pairfam,anchor5,pairfam,d110
d111,pairfam,anchor5,pairfam,d111
d112,pairfam,anchor5,pairfam,d112
d113,pairfam,anchor5,pairfam,d113
d119,pairfam,anchor5,pairfam,d119
d120,pairfam,anchor5,pairfam,d120
d121,pairfam,anchor5,pairfam,d121
d122,pairfam,anchor5,pairfam,d122
d123,pairfam,anchor5,pairfam,d123
d124,pairfam,anchor5,pairfam,d124
d125,pairfam,anchor5,pairfam,d125
d126,pairfam,anchor5,pairfam,d126
d127,pairfam,anchor5,pairfam,d127
d128,pairfam,anchor5,pairfam,d128
d327,pairfam,anchor5,pairfam,d327
d328,pairfam,anchor5,pairfam,d328
d329,pairfam,anchor5,pairfam,d329
d330,pairfam,anchor5,pairfam,d330
d331,pairfam,anchor5,pairfam,d331
d332,pairfam,anchor5,pairfam,d332
d333,pairfam,anchor5,pairfam,d333
d334,pairfam,anchor5,pairfam,d334
d335,pairfam,anchor5,pairfam,d335
d336,pairfam,anchor5,pairfam,d336
d134,pairfam,anchor5,pairfam,d134
d154,pairfam,anchor5,pairfam,d154
d164,pairfam,anchor5,pairfam,d164
d176,pairfam,anchor5,pairfam,d176
d177,pairfam,anchor5,pairfam,d177
d178,pairfam,anchor5,pairfam,d178
d179,pairfam,anchor5,pairfam,d179
d180,pairfam,anchor5,pairfam,d180
d181,pairfam,anchor5,pairfam,d181
d182,pairfam,anchor5,pairfam,d182
d183,pairfam,anchor5,pairfam,d183
d184,pairfam,anchor5,pairfam,d184
d185,pairfam,anchor5,pairfam,d185
d186,pairfam,anchor5,pairfam,d186
d187,pairfam,anchor5,pairfam,d187
d188,pairfam,anchor5,pairfam,d188
d189,pairfam,anchor5,pairfam,d189
d190,pairfam,anchor5,pairfam,d190
d191,pairfam,anchor5,pairfam,d191
d192,pairfam,anchor5,pairfam,d192
d193,pairfam,anchor5,pairfam,d193
d194,pairfam,anchor5,pairfam,d194
d195,pairfam,anchor5,pairfam,d195
d196,pairfam,anchor5,pairfam,d196
d197,pairfam,anchor5,pairfam,d197
d198,pairfam,anchor5,pairfam,d198
d199,pairfam,anchor5,pairfam,d199
d200,pairfam,anchor5,pairfam,d200
d201,pairfam,anchor5,pairfam,d201
d202,pairfam,anchor5,pairfam,d202
d203,pairfam,anchor5,pairfam,d203
d204,pairfam,anchor5,pairfam,d204
d205,pairfam,anchor5,pairfam,d205
d206,pairfam,anchor5,pairfam,d206
d207,pairfam,anchor5,pairfam,d207
d208,pairfam,anchor5,pairfam,d208
d209,pairfam,anchor5,pairfam,d209
d210,pairfam,anchor5,pairfam,d210
d211,pairfam,anchor5,pairfam,d211
d212,pairfam,anchor5,pairfam,d212
d213,pairfam,anchor5,pairfam,d213
d214,pairfam,anchor5,pairfam,d214
d215,pairfam,anchor5,pairfam,d215
d518,pairfam,anchor5,pairfam,d518
d519,pairfam,anchor5,pairfam,d519
d520,pairfam,anchor5,pairfam,d520
d521,pairfam,anchor5,pairfam,d521
d522,pairfam,anchor5,pairfam,d522
d523,pairfam,anchor5,pairfam,d523
d524,pairfam,anchor5,pairfam,d524
d525,pairfam,anchor5,pairfam,d525
d526,pairfam,anchor5,pairfam,d526
d527,pairfam,anchor5,pairfam,d527
d528,pairfam,anchor5,pairfam,d528
d529,pairfam,anchor5,pairfam,d529
d530,pairfam,anchor5,pairfam,d530
d531,pairfam,anchor5,pairfam,d531
d532,pairfam,anchor5,pairfam,d532
d533,pairfam,anchor5,pairfam,d533
d534,pairfam,anchor5,pairfam,d534
d535,pairfam,anchor5,pairfam,d535
d536,pairfam,anchor5,pairfam,d536
d537,pairfam,anchor5,pairfam,d537
d538,pairfam,anchor5,pairfam,d538
d539,pairfam,anchor5,pairfam,d539
d540,pairfam,anchor5,pairfam,d540
d541,pairfam,anchor5,pairfam,d541
d542,pairfam,anchor5,pairfam,d542
d543,pairfam,anchor5,pairfam,d543
d544,pairfam,anchor5,pairfam,d544
d545,pairfam,anchor5,pairfam,d545
d546,pairfam,anchor5,pairfam,d546
d547,pairfam,anchor5,pairfam,d547
d548,pairfam,anchor5,pairfam,d548
d549,pairfam,anchor5,pairfam,d549
d550,pairfam,anchor5,pairfam,d550
d551,pairfam,anchor5,pairfam,d551
