dataset_name,study_name
child3,pairfam
biomob_ehc,pairfam
partner2,pairfam
parenting4,pairfam
partner4,pairfam
parenting6,pairfam
partner1_dd,pairfam
partner5,pairfam
parent7,pairfam
child7,pairfam
partner3,pairfam
parenting3,pairfam
anchor2_dd,pairfam
anchor2,pairfam
anchor3,pairfam
parenting7,pairfam
biopart,pairfam
biomob_rtr,pairfam
parent6,pairfam
parenting5,pairfam
parent2,pairfam
parent4,pairfam
anchor5,pairfam
bioparent,pairfam
biomob_rtr_parents,pairfam
anchor1_dd,pairfam
bioact,pairfam
biomob_ehc_moves,pairfam
biochild,pairfam
anchor7,pairfam
partner7,pairfam
parent5,pairfam
partner1,pairfam
partner6,pairfam
overview_multi_actor,pairfam
bioact_rtr,pairfam
anchor4,pairfam
child2,pairfam
anchor1,pairfam
household,pairfam
parenting2,pairfam
anchor6,pairfam
parent3,pairfam
child6,pairfam
child5,pairfam
child4,pairfam
