concept_name,concept_namespace
id,pairfam
demodiff,pairfam
wave,pairfam
pid,pairfam
mid,pairfam
fid,pairfam
smid,pairfam
sfid,pairfam
cid1,pairfam
cid2,pairfam
cid3,pairfam
cid4,pairfam
cid5,pairfam
cid6,pairfam
cid7,pairfam
cid8,pairfam
cid9,pairfam
cid10,pairfam
parentidk1,pairfam
parentidk2,pairfam
parentidk3,pairfam
parentidk4,pairfam
parentidk5,pairfam
parentidk6,pairfam
parentidk7,pairfam
parentidk8,pairfam
parentidk9,pairfam
parentidk10,pairfam
f_cid,pairfam
sex_gen,pairfam
psex_gen,pairfam
k1sex_gen,pairfam
k2sex_gen,pairfam
k3sex_gen,pairfam
k4sex_gen,pairfam
k5sex_gen,pairfam
k6sex_gen,pairfam
k7sex_gen,pairfam
k8sex_gen,pairfam
k9sex_gen,pairfam
k10sex_gen,pairfam
doby_gen,pairfam
dobm_gen,pairfam
pdoby_gen,pairfam
pdobm_gen,pairfam
mdoby_gen,pairfam
mdobm_gen,pairfam
fdoby_gen,pairfam
fdobm_gen,pairfam
smdoby_gen,pairfam
smdobm_gen,pairfam
sfdoby_gen,pairfam
sfdobm_gen,pairfam
k1doby_gen,pairfam
k2doby_gen,pairfam
k3doby_gen,pairfam
k4doby_gen,pairfam
k5doby_gen,pairfam
k6doby_gen,pairfam
k7doby_gen,pairfam
k8doby_gen,pairfam
k9doby_gen,pairfam
k10doby_gen,pairfam
k1dobm_gen,pairfam
k2dobm_gen,pairfam
k3dobm_gen,pairfam
k4dobm_gen,pairfam
k5dobm_gen,pairfam
k6dobm_gen,pairfam
k7dobm_gen,pairfam
k8dobm_gen,pairfam
k9dobm_gen,pairfam
k10dobm_gen,pairfam
age,pairfam
page,pairfam
mage,pairfam
fage,pairfam
smage,pairfam
sfage,pairfam
k1age,pairfam
k2age,pairfam
k3age,pairfam
k4age,pairfam
k5age,pairfam
k6age,pairfam
k7age,pairfam
k8age,pairfam
k9age,pairfam
k10age,pairfam
ykage,pairfam
ykid,pairfam
ykagecapi,pairfam
ykidcapi,pairfam
cohort,pairfam
entry,pairfam
cob,pairfam
pcob,pairfam
mcob,pairfam
fcob,pairfam
amcob,pairfam
afcob,pairfam
smcob,pairfam
sfcob,pairfam
nat1,pairfam
nat2,pairfam
pnat1,pairfam
pnat2,pairfam
mnat1,pairfam
mnat2,pairfam
fnat1,pairfam
fnat2,pairfam
amnat1,pairfam
amnat2,pairfam
afnat1,pairfam
afnat2,pairfam
smnat1,pairfam
smnat2,pairfam
sfnat1,pairfam
sfnat2,pairfam
ethni,pairfam
migstatus,pairfam
relstat,pairfam
marstat,pairfam
pmarstat,pairfam
np,pairfam
ncoh,pairfam
nmar,pairfam
meetdur,pairfam
reldur,pairfam
cohabdur,pairfam
mardur,pairfam
homosex,pairfam
homosex_new,pairfam
infertile,pairfam
pregnant,pairfam
nkids,pairfam
nkidsbio,pairfam
nkidsp,pairfam
nkidsalv,pairfam
nkidsbioalv,pairfam
nkidspalv,pairfam
nkidsliv,pairfam
nkidsbioliv,pairfam
nkidspliv,pairfam
pnkidsbioalv,pairfam
k1type,pairfam
k2type,pairfam
k3type,pairfam
k4type,pairfam
k5type,pairfam
k6type,pairfam
k7type,pairfam
k8type,pairfam
k9type,pairfam
k10type,pairfam
res2nd,pairfam
hhsizemrd,pairfam
mmrd,pairfam
fmrd,pairfam
pmrd,pairfam
childmrd,pairfam
othmrd,pairfam
hhcomp,pairfam
enrol,pairfam
penrol,pairfam
school,pairfam
pschool,pairfam
mschool,pairfam
fschool,pairfam
vocat,pairfam
pvocat,pairfam
mvocat,pairfam
fvocat,pairfam
isced,pairfam
pisced,pairfam
misced,pairfam
fisced,pairfam
isced2,pairfam
pisced2,pairfam
casmin,pairfam
pcasmin,pairfam
mcasmin,pairfam
fcasmin,pairfam
yeduc,pairfam
pyeduc,pairfam
myeduc,pairfam
fyeduc,pairfam
kldb2010,pairfam
isco08,pairfam
